NAME                                                                           VERSION                 TYPE   
Dapper                                                                         2.0.123                 dotnet  
DryIoc.Microsoft.DependencyInjection                                           6.1.1                   dotnet  
DryIoc.dll                                                                     5.3.4                   dotnet  
Dynamitey                                                                      2.0.9.136               dotnet  
Equ                                                                            2.3.0                   dotnet  
FluentValidation                                                               9.5.4                   dotnet  
Ical.Net                                                                       4.2.0                   dotnet  
ImpromptuInterface                                                             7.0.1                   dotnet  
Kveer.XmlRPC                                                                   1.2.0                   dotnet  
MailKit                                                                        3.6.0                   dotnet  
Microsoft.CSharp                                                               4.5.0                   dotnet  
Microsoft.Data.SqlClient                                                       2.1.2                   dotnet  
Microsoft.Data.SqlClient.SNI.runtime                                           2.1.1                   dotnet  
Microsoft.Extensions.Configuration                                             6.0.0                   dotnet  
Microsoft.Extensions.Configuration                                             6.0.1                   dotnet  
Microsoft.Extensions.Configuration.Abstractions                                6.0.0                   dotnet  
Microsoft.Extensions.Configuration.Binder                                      6.0.0                   dotnet  
Microsoft.Extensions.Configuration.CommandLine                                 6.0.0                   dotnet  
Microsoft.Extensions.Configuration.EnvironmentVariables                        6.0.1                   dotnet  
Microsoft.Extensions.Configuration.FileExtensions                              6.0.0                   dotnet  
Microsoft.Extensions.Configuration.Json                                        6.0.0                   dotnet  
Microsoft.Extensions.Configuration.UserSecrets                                 6.0.1                   dotnet  
Microsoft.Extensions.DependencyInjection                                       6.0.1                   dotnet  
Microsoft.Extensions.DependencyInjection.Abstractions                          6.0.0                   dotnet  
Microsoft.Extensions.FileProviders.Abstractions                                6.0.0                   dotnet  
Microsoft.Extensions.FileProviders.Physical                                    6.0.0                   dotnet  
Microsoft.Extensions.FileSystemGlobbing                                        6.0.0                   dotnet  
Microsoft.Extensions.Hosting                                                   6.0.1                   dotnet  
Microsoft.Extensions.Hosting.Abstractions                                      6.0.0                   dotnet  
Microsoft.Extensions.Hosting.WindowsServices                                   6.0.1                   dotnet  
Microsoft.Extensions.Logging                                                   6.0.0                   dotnet  
Microsoft.Extensions.Logging.Abstractions                                      6.0.0                   dotnet  
Microsoft.Extensions.Logging.Configuration                                     6.0.0                   dotnet  
Microsoft.Extensions.Logging.Console                                           6.0.0                   dotnet  
Microsoft.Extensions.Logging.Debug                                             6.0.0                   dotnet  
Microsoft.Extensions.Logging.EventLog                                          6.0.0                   dotnet  
Microsoft.Extensions.Logging.EventSource                                       6.0.0                   dotnet  
Microsoft.Extensions.Options                                                   6.0.0                   dotnet  
Microsoft.Extensions.Options.ConfigurationExtensions                           6.0.0                   dotnet  
Microsoft.Extensions.Primitives                                                6.0.0                   dotnet  
Microsoft.Identity.Client                                                      4.21.1                  dotnet  
Microsoft.IdentityModel.JsonWebTokens                                          6.8.0                   dotnet  
Microsoft.IdentityModel.Logging                                                6.8.0                   dotnet  
Microsoft.IdentityModel.Protocols                                              6.8.0                   dotnet  
Microsoft.IdentityModel.Protocols.OpenIdConnect                                6.8.0                   dotnet  
Microsoft.IdentityModel.Tokens                                                 6.8.0                   dotnet  
Microsoft.NETCore.Platforms                                                    1.1.0                   dotnet  
Microsoft.NETCore.Targets                                                      1.1.0                   dotnet  
Microsoft.OpenApi                                                              1.2.3                   dotnet  
Microsoft.Win32.Primitives                                                     4.3.0                   dotnet  
Microsoft.Win32.Registry                                                       5.0.0                   dotnet  
Microsoft.Win32.SystemEvents                                                   6.0.0                   dotnet  
MimeKit                                                                        3.6.0                   dotnet  
Mono.Nat                                                                       3.0.1                   dotnet  
Mono.Posix.NETStandard                                                         5.20.1.34-servarr20     dotnet  
MonoTorrent                                                                    2.0.7                   dotnet  
NETStandard.Library                                                            1.6.1                   dotnet  
NLog                                                                           5.2.0                   dotnet  
NLog.Extensions.Logging                                                        5.0.4                   dotnet  
NLog.Targets.Syslog                                                            7.0.0                   dotnet  
Newtonsoft.Json                                                                13.0.2                  dotnet  
NodaTime                                                                       3.0.0                   dotnet  
Npgsql                                                                         6.0.8                   dotnet  
Polly.Contrib.WaitAndRetry                                                     1.1.1                   dotnet  
Portable.BouncyCastle                                                          1.9.0                   dotnet  
ReusableTasks                                                                  2.0.0                   dotnet  
Sentry                                                                         3.25.0                  dotnet  
